sample,files,species,treatment,dog
Canine_NK_Day_0_HVE5_2_15_19_,outputs/quant_cf_nonribo/Canine_NK_Day_0_HVE5_2_15_19_quant.sf,canine,resting,HVE5
Canine_NK_Day_0_IRS4_12_14_18_,outputs/quant_cf_nonribo/Canine_NK_Day_0_IRS4_12_14_18_quant.sf,canine,resting,IRS4
Canine_NK_Day_0_KPC6_11_27_18_ ,outputs/quant_cf_nonribo/Canine_NK_Day_0_KPC6_11_27_18_quant.sf,canine,resting,KPC6
Canine_NK_Day_0_VBE7_12_14_18_,outputs/quant_cf_nonribo/Canine_NK_Day_0_VBE7_12_14_18_quant.sf,canine,resting,VBE7
Canine_NK_Day_3_IL_15_HVE5_2_18_19_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_HVE5_2_18_19_quant.sf,canine,il15,HVE5
Canine_NK_Day_3_IL_15_IRS4_12_17_18_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_IRS4_12_17_18_quant.sf,canine,il15,IRS4
Canine_NK_Day_3_IL_15_KPC6_2_18_19_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_KPC6_2_18_19_quant.sf,canine,il15,KPC6
Canine_NK_Day_3_IL_15_VBE7_2_18_19_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_VBE7_2_18_19_quant.sf,canine,il15,VBE7
Canine_NK_Day_14_Co_Culture_EKA5_12_11_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_EKA5_12_11_18_quant.sf,canine,coculture,EKA5
Canine_NK_Day_14_Co_Culture_IRS4_12_28_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_IRS4_12_28_18_quant.sf,canine,coculture,IRS4
Canine_NK_Day_14_Co_Culture_KPC6_12_11_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_KPC6_12_11_18_quant.sf,canine,coculture,KPC6
Canine_NK_Day_14_Co_Culture_VBE7_12_28_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_VBE7_12_28_18_quant.sf,canine,coculture,VBE7
