sample,files,species,treatment,dog
Canine_NK_Day_0_HVE5_2_15_19_,outputs/quant_cf_nonribo/Canine_NK_Day_0_HVE5_2_15_19_quant.sf,canine,resting,HVE5
Canine_NK_Day_0_IRS4_12_14_18_,outputs/quant_cf_nonribo/Canine_NK_Day_0_IRS4_12_14_18_quant.sf,canine,resting,IRS4
Canine_NK_Day_0_KPC6_11_27_18_ ,outputs/quant_cf_nonribo/Canine_NK_Day_0_KPC6_11_27_18_quant.sf,canine,resting,KPC6
Canine_NK_Day_0_VBE7_12_14_18_,outputs/quant_cf_nonribo/Canine_NK_Day_0_VBE7_12_14_18_quant.sf,canine,resting,VBE7
Canine_NK_Day_3_IL_15_HVE5_2_18_19_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_HVE5_2_18_19_quant.sf,canine,il15,HVE5
Canine_NK_Day_3_IL_15_IRS4_12_17_18_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_IRS4_12_17_18_quant.sf,canine,il15,IRS4
Canine_NK_Day_3_IL_15_KPC6_2_18_19_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_KPC6_2_18_19_quant.sf,canine,il15,KPC6
Canine_NK_Day_3_IL_15_VBE7_2_18_19_,outputs/quant_cf_nonribo/Canine_NK_Day_3_IL_15_VBE7_2_18_19_quant.sf,canine,il15,VBE7
Canine_NK_Day_14_Co_Culture_EKA5_12_11_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_EKA5_12_11_18_quant.sf,canine,coculture,EKA5
Canine_NK_Day_14_Co_Culture_IRS4_12_28_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_IRS4_12_28_18_quant.sf,canine,coculture,IRS4
Canine_NK_Day_14_Co_Culture_KPC6_12_11_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_KPC6_12_11_18_quant.sf,canine,coculture,KPC6
Canine_NK_Day_14_Co_Culture_VBE7_12_28_18_,outputs/quant_cf_nonribo/Canine_NK_Day_14_Co_Culture_VBE7_12_28_18_quant.sf,canine,coculture,VBE7
Dazey_041619_dim,outputs/quant_cf_nonribo/Dazey_041619_dim_quant.sf,canine,day3,Dazey
Dazey_042615_dim,outputs/quant_cf_nonribo/Dazey_042615_dim_quant.sf,canine,day10,Dazey
Dazey_050319_dim,outputs/quant_cf_nonribo/Dazey_050319_dim_quant.sf,canine,day17,Dazey
Dazey_051719_dim,outputs/quant_cf_nonribo/Dazey_051719_dim_quant.sf,canine,day31,Dazey
Emma_01082019_dim,outputs/quant_cf_nonribo/Emma_01082019_dim_quant.sf,canine,day31,Emma
Emma_12022018_dim,outputs/quant_cf_nonribo/Emma_12022018_dim_quant.sf,canine,day3,Emma
Emma_12172018_dim,outputs/quant_cf_nonribo/Emma_12172018_dim_quant.sf,canine,day10,Emma
Emma_12212018_dim,outputs/quant_cf_nonribo/Emma_12212018_dim_quant.sf,canine,day17,Emma
Iggy_11292018_dim,outputs/quant_cf_nonribo/Iggy_11292018_dim_quant.sf,canine,day0,Iggy
Iggy_12192018_dim,outputs/quant_cf_nonribo/Iggy_12192018_dim_quant.sf,canine,day17,Iggy
Iggy01032019_dim,outputs/quant_cf_nonribo/Iggy01032019_dim_quant.sf,canine,day31,Iggy
Iggy_12112018_dim,outputs/quant_cf_nonribo/Iggy_12112018_dim_quant.sf,canine,day10,Iggy
Morgan_112118_dim,outputs/quant_cf_nonribo/Morgan_112118_dim_quant.sf,canine,day0,Morgan
Morgan_120518_dim,outputs/quant_cf_nonribo/Morgan_120518_dim_quant.sf,canine,day10,Morgan
Morgan_121118_dim,outputs/quant_cf_nonribo/Morgan_121118_dim_quant.sf,canine,day17,Morgan
Morgan_122818_dim,outputs/quant_cf_nonribo/Morgan_122818_dim_quant.sf,canine,day31,Morgan
Nick_062419_dim,outputs/quant_cf_nonribo/Nick_062419_dim_quant.sf,canine,day3,Nick
Nick_070119_dim,outputs/quant_cf_nonribo/Nick_070119_dim_quant.sf,canine,day10,Nick
Nick_070819_dim,outputs/quant_cf_nonribo/Nick_070819_dim_quant.sf,canine,day17,Nick
Santino_032519_dim,outputs/quant_cf_nonribo/Santino_032519_dim_quant.sf,canine,day0,Santino
Santino_040119_dim,outputs/quant_cf_nonribo/Santino_040119_dim_quant.sf,canine,day10,Santino
Santino_040819_dim,outputs/quant_cf_nonribo/Santino_040819_dim_quant.sf,canine,day17,Santino
Santino_042619_dim,outputs/quant_cf_nonribo/Santino_042619_dim_quant.sf,canine,day31,Santino
Sessy_071619_dim,outputs/quant_cf_nonribo/Sessy_071619_dim_quant.sf,canine,day3,Sessy
Sessy_072319_dim,outputs/quant_cf_nonribo/Sessy_072319_dim_quant.sf,canine,day10,Sessy
Sessy_073019_dim,outputs/quant_cf_nonribo/Sessy_073019_dim_quant.sf,canine,day17,Sessy
