sample,files,species,treatment,dog
Dazey_041619_bright,outputs/quant_cf_nonribo/Dazey_041619_bright_quant.sf,canine,pretx,Dazey
Dazey_042615_bright,outputs/quant_cf_nonribo/Dazey_042615_bright_quant.sf,canine,day10,Dazey
Dazey_050319_bright,outputs/quant_cf_nonribo/Dazey_050319_bright_quant.sf,canine,day17,Dazey
Dazey_051719_bright,outputs/quant_cf_nonribo/Dazey_051719_bright_quant.sf,canine,day31,Dazey
Emma_12062018_bright ,outputs/quant_cf_nonribo/Emma_12062018_bright_quant.sf,canine,pretx,Emma
Emma_12172018_bright,outputs/quant_cf_nonribo/Emma_12172018_bright_quant.sf,canine,day10,Emma
Emma_12212018_bright,outputs/quant_cf_nonribo/Emma_12212018_bright_quant.sf,canine,day17,Emma
Emma_01082019_bright,outputs/quant_cf_nonribo/Emma_01082019_bright_quant.sf,canine,day31,Emma
Iggy_11292018_bright,outputs/quant_cf_nonribo/Iggy_11292018_bright_quant.sf,canine,pretx,Iggy
Iggy_12112018_bright,outputs/quant_cf_nonribo/Iggy_12112018_bright_quant.sf,canine,day10,Iggy
Iggy_12192018_bright,outputs/quant_cf_nonribo/Iggy_12192018_bright_quant.sf,canine,day17,Iggy
Iggy_01032019_bright,outputs/quant_cf_nonribo/Iggy_01032019_bright_quant.sf,canine,day31,Iggy
Morgan_120518_bright,outputs/quant_cf_nonribo/Morgan_120518_bright_quant.sf,canine,day10,Morgan
Morgan_121118_bright,outputs/quant_cf_nonribo/Morgan_121118_bright_quant.sf,canine,day17,Morgan
Morgan_122818_bright,outputs/quant_cf_nonribo/Morgan_122818_bright_quant.sf,canine,day31,Morgan
Nick_062419_bright,outputs/quant_cf_nonribo/Nick_062419_bright_quant.sf,canine,pretx,Nick
Nick_070119_bright,outputs/quant_cf_nonribo/Nick_070119_bright_quant.sf,canine,day10,Nick
Nick_070819_bright,outputs/quant_cf_nonribo/Nick_070819_bright_quant.sf,canine,day17,Nick
Santino_032519_bright,outputs/quant_cf_nonribo/Santino_032519_bright_quant.sf,canine,pretx,Santino
Santino_040119_bright,outputs/quant_cf_nonribo/Santino_040119_bright_quant.sf,canine,day10,Santino
Santino_040819_bright,outputs/quant_cf_nonribo/Santino_040819_bright_quant.sf,canine,day17,Santino
Santino_042619_bright,outputs/quant_cf_nonribo/Santino_042619_bright_quant.sf,canine,day31,Santino
Sessy_071619_bright,outputs/quant_cf_nonribo/Sessy_071619_bright_quant.sf,canine,pretx,Sessy
Sessy_072319_bright,outputs/quant_cf_nonribo/Sessy_072319_bright_quant.sf,canine,day10,Sessy
Sessy_073019_bright,outputs/quant_cf_nonribo/Sessy_073019_bright_quant.sf,canine,day17,Sessy
