sample,files,species,treatment,dog
Dazey_041619_dim,outputs/quant_cf_nonribo/Dazey_041619_dim_quant.sf,canine,pretx,Dazey
Dazey_042615_dim,outputs/quant_cf_nonribo/Dazey_042615_dim_quant.sf,canine,day10,Dazey
Dazey_050319_dim,outputs/quant_cf_nonribo/Dazey_050319_dim_quant.sf,canine,day17,Dazey
Dazey_051719_dim,outputs/quant_cf_nonribo/Dazey_051719_dim_quant.sf,canine,day31,Dazey
Emma_01082019_dim,outputs/quant_cf_nonribo/Emma_01082019_dim_quant.sf,canine,day31,Emma
Emma_12022018_dim,outputs/quant_cf_nonribo/Emma_12022018_dim_quant.sf,canine,pretx,Emma
Emma_12172018_dim,outputs/quant_cf_nonribo/Emma_12172018_dim_quant.sf,canine,day10,Emma
Emma_12212018_dim,outputs/quant_cf_nonribo/Emma_12212018_dim_quant.sf,canine,day17,Emma
Iggy_11292018_dim,outputs/quant_cf_nonribo/Iggy_11292018_dim_quant.sf,canine,pretx,Iggy
Iggy_12192018_dim,outputs/quant_cf_nonribo/Iggy_12192018_dim_quant.sf,canine,day17,Iggy
Iggy01032019_dim,outputs/quant_cf_nonribo/Iggy01032019_dim_quant.sf,canine,day31,Iggy
Iggy_12112018_dim,outputs/quant_cf_nonribo/Iggy_12112018_dim_quant.sf,canine,day10,Iggy
Morgan_112118_dim,outputs/quant_cf_nonribo/Morgan_112118_dim_quant.sf,canine,pretx,Morgan
Morgan_120518_dim,outputs/quant_cf_nonribo/Morgan_120518_dim_quant.sf,canine,day10,Morgan
Morgan_121118_dim,outputs/quant_cf_nonribo/Morgan_121118_dim_quant.sf,canine,day17,Morgan
Morgan_122818_dim,outputs/quant_cf_nonribo/Morgan_122818_dim_quant.sf,canine,day31,Morgan
Nick_062419_dim,outputs/quant_cf_nonribo/Nick_062419_dim_quant.sf,canine,pretx,Nick
Nick_070119_dim,outputs/quant_cf_nonribo/Nick_070119_dim_quant.sf,canine,day10,Nick
Nick_070819_dim,outputs/quant_cf_nonribo/Nick_070819_dim_quant.sf,canine,day17,Nick
Santino_032519_dim,outputs/quant_cf_nonribo/Santino_032519_dim_quant.sf,canine,pretx,Santino
Santino_040119_dim,outputs/quant_cf_nonribo/Santino_040119_dim_quant.sf,canine,day10,Santino
Santino_040819_dim,outputs/quant_cf_nonribo/Santino_040819_dim_quant.sf,canine,day17,Santino
Santino_042619_dim,outputs/quant_cf_nonribo/Santino_042619_dim_quant.sf,canine,day31,Santino
Sessy_071619_dim,outputs/quant_cf_nonribo/Sessy_071619_dim_quant.sf,canine,pretx,Sessy
Sessy_072319_dim,outputs/quant_cf_nonribo/Sessy_072319_dim_quant.sf,canine,day10,Sessy
Sessy_073019_dim,outputs/quant_cf_nonribo/Sessy_073019_dim_quant.sf,canine,day17,Sessy
